"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"eco00052","Metabolism","Carbohydrate metabolism","eco00052","Galactose metabolism - Escherichia coli K-12 MG1655","10/112","35/1780",0.285714285714286,4.54081632653061,5.48073328272248,3.15340864032873e-05,0.00163977249297094,0.00149371988226098,"b3077/b2094/b4477/b3138/b2095/b0344/b3133/b2096/b2093/b3132",10
"eco01220","Metabolism","Global and overview maps","eco01220","Degradation of aromatic compounds - Escherichia coli K-12 MG1655","6/112","17/1780",0.352941176470588,5.60924369747899,4.94682944625242,0.000379844696973204,0.00987596212130332,0.008996321770418,"b0348/b2541/b0349/b3589/b0347/b1461",6
"eco02020","Environmental Information Processing","Signal transduction","eco02020","Two-component system - Escherichia coli K-12 MG1655","23/112","188/1780",0.122340425531915,1.94433890577508,3.54677989253749,0.000922739689461731,0.0134135323798133,0.0122188047994251,"b0485/b3026/b3143/b2367/b0616/b0974/b0615/b2062/b2368/b0698/b2223/b0697/b3577/b1474/b2060/b2061/b3578/b0535/b0617/b2253/b1500/b2222/b4513",23
"eco02060","Environmental Information Processing","Membrane transport","eco02060","Phosphotransferase system (PTS) - Escherichia coli K-12 MG1655","9/112","43/1780",0.209302325581395,3.32641196013289,4.00055184213791,0.00103181018306256,0.0134135323798133,0.0122188047994251,"b2094/b2934/b3138/b4194/b3682/b4193/b2715/b3133/b2093",9
"eco00543","Metabolism","Glycan biosynthesis and metabolism","eco00543","Exopolysaccharide biosynthesis - Escherichia coli K-12 MG1655","5/112","15/1780",0.333333333333333,5.29761904761905,4.33012220022912,0.00162916742097999,0.0169433411781919,0.015434217672442,"b2055/b2054/b2058/b1022/b2044",5
"eco00053","Metabolism","Carbohydrate metabolism","eco00053","Ascorbate and aldarate metabolism - Escherichia coli K-12 MG1655","5/112","19/1780",0.263157894736842,4.18233082706767,3.61277912231963,0.00514734634067778,0.0446103349525408,0.0406369447948246,"b4194/b4193/b3582/b4358/b3575",5
